"Genes","LundEAC","MSK2020_EAConly","TCGA_2017_only","esca_broad","is_oesophageal","is_predicted_driver","p_value","fdr_p_value","is_significant_fdr"
"ARMC5",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"AURKA",0.015625,0.003,0.013,0.013,FALSE,TRUE,0.573185861316978,0.626350926714495,FALSE
"AXL",0.015625,0.014,0.025,0.013,FALSE,TRUE,0.902343382052605,0.919414743334681,FALSE
"BAX",0.015625,NA,0.025,NA,FALSE,TRUE,0.0208412754342901,0.0557245449555131,FALSE
"BCL2",0.015625,0.003,NA,NA,FALSE,FALSE,0.279800790345108,0.347383640474761,FALSE
"BCL6",0.015625,0.007,0.025,NA,FALSE,FALSE,0.233980277863312,0.31503773126596,FALSE
"BMP8A",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"BMP8B",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"CACNA1I",0.015625,NA,0.063,0.013,FALSE,FALSE,0.000396368121671163,0.00276723670129682,TRUE
"CCNE1",0.015625,0.007,0.025,0.007,FALSE,TRUE,0.513273179246569,0.570808225887777,FALSE
"CCR10",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"CDK2AP1",0.015625,NA,NA,0.007,FALSE,FALSE,0.216727892713011,0.296264995840332,FALSE
"CDK4",0.015625,0.003,NA,NA,FALSE,TRUE,0.279800790345108,0.347383640474761,FALSE
"CDK6",0.015625,0.003,0.013,0.007,FALSE,TRUE,0.614730329423704,0.660265909381016,FALSE
"CHEK1",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"CHEK2P2",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"CSK",0.015625,NA,NA,0.013,FALSE,FALSE,0.163429121817424,0.236988718388249,FALSE
"CTNNA2",0.015625,NA,0.051,0.073,FALSE,FALSE,7.86175867429884e-05,0.000926213443815832,TRUE
"DBF4",0.015625,NA,0.013,0.013,FALSE,FALSE,0.265946081598625,0.347383640474761,FALSE
"DPYSL2",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"EPAS1",0.015625,0.005,0.025,0.007,FALSE,TRUE,0.389541490787225,0.448649053933817,FALSE
"EPHA2",0.015625,NA,0.038,0.026,FALSE,TRUE,0.0273173796022363,0.0682029941062457,FALSE
"EPHB4",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"FANCA",0.015625,0.014,0.025,0.013,FALSE,FALSE,0.902343382052605,0.919414743334681,FALSE
"FGF6",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"FGF8",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"FGFR2",0.015625,0.007,NA,0.007,FALSE,TRUE,0.742916321430393,0.775843360607363,FALSE
"FGFR3",0.015625,0.014,NA,NA,FALSE,TRUE,0.343061424531912,0.407994186272968,FALSE
"FH",0.015625,0.003,NA,NA,FALSE,TRUE,0.279800790345108,0.347383640474761,FALSE
"FOXD4",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"FOXD4L1",0.015625,NA,NA,0.02,FALSE,FALSE,0.0719845352924968,0.128010234930525,FALSE
"FOXE1",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"FOXG1",0.015625,NA,0.089,0.026,FALSE,FALSE,1.85968768558151e-05,0.000280440902985692,TRUE
"FOXS1",0.015625,NA,NA,0.007,FALSE,FALSE,0.216727892713011,0.296264995840332,FALSE
"GATA3",0.015625,0.024,0.038,0.007,FALSE,FALSE,0.420564584713492,0.47613467999095,FALSE
"GHR",0.015625,NA,0.013,0.013,FALSE,FALSE,0.265946081598625,0.347383640474761,FALSE
"GID4",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"GLI1",0.015625,0.016,0.025,0.013,TRUE,FALSE,0.924230648118877,0.934796003810859,FALSE
"GNA11",0.015625,0.003,NA,NA,FALSE,TRUE,0.279800790345108,0.347383640474761,FALSE
"GNRHR",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"GREM2",0.015625,NA,NA,0.007,FALSE,FALSE,0.216727892713011,0.296264995840332,FALSE
"GSK3B",0.015625,NA,0.025,NA,FALSE,FALSE,0.0208412754342901,0.0557245449555131,FALSE
"HESX1",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"HGF",0.015625,0.014,0.013,0.02,FALSE,FALSE,0.965072876507737,0.967639559689939,FALSE
"HIF1A",0.015625,NA,0.038,0.007,FALSE,TRUE,0.0131397987881184,0.0442295012778627,TRUE
"HNF1B",0.015625,NA,NA,0.007,FALSE,FALSE,0.216727892713011,0.296264995840332,FALSE
"HOXB13",0.015625,0.004,NA,0.013,FALSE,FALSE,0.499912272798643,0.557594458121563,FALSE
"HRAS",0.015625,NA,NA,0.007,FALSE,FALSE,0.216727892713011,0.296264995840332,FALSE
"HSP90AA1",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"JAK3",0.015625,0.01,0.063,0.013,FALSE,FALSE,0.0188227929526126,0.0531048385803472,FALSE
"KCNA4",0.015625,NA,0.038,0.02,FALSE,FALSE,0.032272016236063,0.0751021612407144,FALSE
"KCNA6",0.015625,NA,0.025,0.013,FALSE,FALSE,0.124809222411128,0.191272670117867,FALSE
"KDM5D",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"KIF1B",0.015625,NA,0.025,0.02,FALSE,FALSE,0.102221024693928,0.161921539116012,FALSE
"LGALS3",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"MAN1A1",0.015625,NA,0.025,NA,FALSE,FALSE,0.0208412754342901,0.0557245449555131,FALSE
"MAP2K1",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"MAPK1",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"MDM4",0.015625,0.003,0.013,0.007,FALSE,TRUE,0.614730329423704,0.660265909381016,FALSE
"MEF2B",0.015625,0.01,NA,NA,FALSE,FALSE,0.42286365740607,0.476877679192697,FALSE
"MEN1",0.015625,0.017,NA,0.007,FALSE,FALSE,0.58009997126613,0.632074246148356,FALSE
"MRAS",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"MRE11",0.015625,0.003,0.013,NA,FALSE,FALSE,0.324006843054732,0.387779618513123,FALSE
"MUTYH",0.015625,0.007,0.013,0.013,FALSE,FALSE,0.885813318224072,0.909949920900477,FALSE
"NCAM1",0.015625,NA,0.038,0.013,FALSE,FALSE,0.0264744641061785,0.0669857246176462,FALSE
"NFE2L1",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"NFE2L2",0.015625,0.007,0.013,0.013,FALSE,FALSE,0.885813318224072,0.909949920900477,FALSE
"NFKBIA",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"NKX2-2",0.015625,NA,NA,0.02,FALSE,FALSE,0.0719845352924968,0.128010234930525,FALSE
"NKX3-1",0.015625,0.003,NA,NA,FALSE,FALSE,0.279800790345108,0.347383640474761,FALSE
"NR3C1",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"NTRK1",0.015625,0.014,0.025,0.026,FALSE,TRUE,0.805829652310751,0.83460928275042,FALSE
"OCLN",0.015625,NA,0.025,NA,FALSE,FALSE,0.0208412754342901,0.0557245449555131,FALSE
"OGDHL",0.015625,NA,0.038,0.02,FALSE,FALSE,0.032272016236063,0.0751021612407144,FALSE
"OTX2",0.015625,NA,0.025,0.007,FALSE,FALSE,0.0925774263159634,0.157926197833114,FALSE
"PALLD",0.015625,NA,0.038,0.02,FALSE,FALSE,0.032272016236063,0.0751021612407144,FALSE
"PAX2",0.015625,NA,NA,0.013,FALSE,FALSE,0.163429121817424,0.236988718388249,FALSE
"PAX5",0.015625,0.003,NA,0.013,FALSE,FALSE,0.417975327100458,0.474628609388171,FALSE
"PBRM1",0.015625,0.038,0.051,0.026,FALSE,TRUE,0.619927130290003,0.663956045793554,FALSE
"PIM1",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"POU1F1",0.015625,NA,NA,0.013,FALSE,FALSE,0.163429121817424,0.236988718388249,FALSE
"PPIE",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"PRB3",0.015625,NA,0.038,NA,FALSE,FALSE,0.00190588408477855,0.0089814787495189,TRUE
"PRB4",0.015625,NA,0.025,0.013,FALSE,FALSE,0.124809222411128,0.191272670117867,FALSE
"PRKG1",0.015625,NA,0.025,NA,FALSE,FALSE,0.0208412754342901,0.0557245449555131,FALSE
"PROCA1",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"PTCH1",0.015625,0.024,0.038,0.02,FALSE,FALSE,0.811410291048918,0.838086793768334,FALSE
"PTGS2",0.015625,NA,NA,0.013,FALSE,FALSE,0.163429121817424,0.236988718388249,FALSE
"RAB18",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"RAB1A",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"RARA",0.015625,0.007,NA,0.007,FALSE,FALSE,0.742916321430393,0.775843360607363,FALSE
"RARS",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"REEP5",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"RICTOR",0.015625,0.003,0.013,0.007,FALSE,TRUE,0.614730329423704,0.660265909381016,FALSE
"ROR1",0.015625,NA,NA,0.007,FALSE,FALSE,0.216727892713011,0.296264995840332,FALSE
"RPA1",0.015625,NA,0.038,NA,FALSE,FALSE,0.00190588408477855,0.0089814787495189,TRUE
"RUNX3",0.015625,NA,NA,0.02,FALSE,FALSE,0.0719845352924968,0.128010234930525,FALSE
"RXRG",0.015625,NA,NA,0.013,FALSE,FALSE,0.163429121817424,0.236988718388249,FALSE
"SDHB",0.015625,0.003,NA,NA,FALSE,FALSE,0.279800790345108,0.347383640474761,FALSE
"SETD2",0.015625,0.024,0.013,0.02,FALSE,FALSE,0.924877743823476,0.934796003810859,FALSE
"SF3B1",0.015625,0.01,0.013,0.013,FALSE,TRUE,0.979502640649052,0.979502640649052,FALSE
"SH2B3",0.015625,0.016,0.025,NA,FALSE,FALSE,0.375576790297598,0.435669076745213,FALSE
"SKI",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"SMAD2",0.015625,0.007,NA,0.007,FALSE,TRUE,0.742916321430393,0.775843360607363,FALSE
"SMARCA2",0.015625,NA,0.038,0.033,FALSE,FALSE,0.017256106443409,0.0500427086858861,FALSE
"SNIP1",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"SORT1",0.015625,NA,NA,0.007,FALSE,FALSE,0.216727892713011,0.296264995840332,FALSE
"SPANXN1",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"SPOP",0.015625,0.007,NA,NA,FALSE,FALSE,0.433713561198886,0.486636942178512,FALSE
"SRC",0.015625,0.003,NA,NA,FALSE,TRUE,0.279800790345108,0.347383640474761,FALSE
"SRP9",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"TBXAS1",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"TCF7L1",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"TFG",0.015625,NA,0.013,0.026,FALSE,FALSE,0.0756196075166962,0.133217719784086,FALSE
"TH",0.015625,NA,0.025,NA,FALSE,FALSE,0.0208412754342901,0.0557245449555131,FALSE
"TMEM43",0.015625,NA,0.013,0.013,FALSE,FALSE,0.265946081598625,0.347383640474761,FALSE
"TNFAIP3",0.015625,0.003,0.063,0.007,FALSE,FALSE,0.000622549525969663,0.00381149388187691,TRUE
"TNFRSF14",0.015625,0.003,NA,NA,FALSE,FALSE,0.279800790345108,0.347383640474761,FALSE
"TNRC6A",0.015625,NA,0.025,0.026,FALSE,FALSE,0.0650032112664545,0.119542490963187,FALSE
"TOP2A",0.015625,NA,0.051,NA,FALSE,FALSE,0.000124435923249674,0.00120288059141351,TRUE
"TPM4",0.015625,NA,NA,NA,FALSE,FALSE,0.044458359329758,0.0877528872634491,FALSE
"TPMT",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
"TRAF7",0.015625,0.003,NA,0.007,FALSE,TRUE,0.534067212398883,0.588723213667774,FALSE
"TSHB",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"U2AF1",0.015625,0.003,NA,NA,FALSE,FALSE,0.279800790345108,0.347383640474761,FALSE
"UGT2B7",0.015625,NA,NA,0.013,FALSE,FALSE,0.163429121817424,0.236988718388249,FALSE
"WIF1",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"WNT7B",0.015625,NA,0.038,0.013,FALSE,FALSE,0.0264744641061785,0.0669857246176462,FALSE
"WNT9A",0.015625,NA,0.013,NA,FALSE,FALSE,0.0984917565981065,0.158005924414835,FALSE
"ZNF384",0.015625,NA,0.038,0.007,FALSE,FALSE,0.0131397987881184,0.0442295012778627,TRUE
"ZNF703",0.015625,NA,0.013,0.007,FALSE,FALSE,0.286568467341249,0.347383640474761,FALSE
